,name,caption,path,width,height
0,3146355833_1b7fc80210.jpg,A child holds a yellow balloon .,./data/flickr/Images/3146355833_1b7fc80210.jpg,375,500
1,2533414541_362bf043bb.jpg,Spectators watching white and blue race car passing by .,./data/flickr/Images/2533414541_362bf043bb.jpg,500,333
2,1394620454_bf708cc501.jpg,A boy with glasses is standing on top of a rocky peak with hands in his pockets .,./data/flickr/Images/1394620454_bf708cc501.jpg,500,333
3,2000459828_3c9e109106.jpg,Two men are hiking with a small child near to some interesting shape rock formations .,./data/flickr/Images/2000459828_3c9e109106.jpg,335,500
4,1670592963_39731a3dac.jpg,The collie is running down a blue and yellow board .,./data/flickr/Images/1670592963_39731a3dac.jpg,500,465
5,3403370354_5d266873b4.jpg,A man is flailing in water while holding up a drink can .,./data/flickr/Images/3403370354_5d266873b4.jpg,500,334
6,1339596997_8ac29c1841.jpg,Three women with head scarves and long skirts .,./data/flickr/Images/1339596997_8ac29c1841.jpg,429,500
7,3640109324_3ce89e4d1a.jpg,Pall bearers at a catholic funeral .,./data/flickr/Images/3640109324_3ce89e4d1a.jpg,500,281
8,1387443857_602ab6f9bf.jpg,An old man is sitting on a stone bench .,./data/flickr/Images/1387443857_602ab6f9bf.jpg,375,500
9,2581066814_179d28f306.jpg,Three naked people ride bicycles in a city street while law enforcement and a crowd looks on .,./data/flickr/Images/2581066814_179d28f306.jpg,500,394
10,3532028205_9ddd7599f8.jpg,Hockey player in red hockey shirt with white and blue accents wearing a blue helmet on the ice .,./data/flickr/Images/3532028205_9ddd7599f8.jpg,500,333
11,3610687607_895fdc94bd.jpg,"A person falls through the air in a room , with a step ladder in it .",./data/flickr/Images/3610687607_895fdc94bd.jpg,500,332
12,3516285214_59823b341e.jpg,A person surfs through a wave as it crashes down .,./data/flickr/Images/3516285214_59823b341e.jpg,500,274
13,3374759363_d6f7a0df41.jpg,A man sitting in a chair smoking a cigarette .,./data/flickr/Images/3374759363_d6f7a0df41.jpg,375,500
14,2659606300_bea3feaf8b.jpg,A baby girl wearing a pink jacket climbs wooden steps .,./data/flickr/Images/2659606300_bea3feaf8b.jpg,333,500
15,1417941060_2a0f7908bc.jpg,A little baby holds the head of his older brother,./data/flickr/Images/1417941060_2a0f7908bc.jpg,375,500
16,3733074526_82aa8d5f8d.jpg,A girl in a red and white costume standing on the street .,./data/flickr/Images/3733074526_82aa8d5f8d.jpg,268,500
17,3149919755_f9272b10b3.jpg,A black dog is looking at the ball on the beach by the ocean .,./data/flickr/Images/3149919755_f9272b10b3.jpg,500,375
18,557601144_50b8c40393.jpg,A white dog running in the backyard .,./data/flickr/Images/557601144_50b8c40393.jpg,365,500
19,2846785268_904c5fcf9f.jpg,Rollerblader grinding a yellow road barrier,./data/flickr/Images/2846785268_904c5fcf9f.jpg,333,500
20,2490863987_715383944a.jpg,The man is asking for money .,./data/flickr/Images/2490863987_715383944a.jpg,334,500
21,3303787342_b258b377b6.jpg,A skier in a bright green jacket sliding downhill .,./data/flickr/Images/3303787342_b258b377b6.jpg,500,334
22,1339596997_8ac29c1841.jpg,three females wearing head scarves standing together,./data/flickr/Images/1339596997_8ac29c1841.jpg,429,500
23,3127142756_bf0bfcb571.jpg,Two black dogs in the snow .,./data/flickr/Images/3127142756_bf0bfcb571.jpg,500,324
24,3553476195_fb3747d7c1.jpg,Two black dogs are tugging at an orange toy that is between them .,./data/flickr/Images/3553476195_fb3747d7c1.jpg,500,250
25,421808539_57abee6d55.jpg,A yellow puppy walking through the snow .,./data/flickr/Images/421808539_57abee6d55.jpg,500,355
26,2373234213_4ebe9c4ee5.jpg,One boy jumps over another boy on a trampoline .,./data/flickr/Images/2373234213_4ebe9c4ee5.jpg,420,500
27,3671777903_6fbf643980.jpg,A kite surfer jumps through the air .,./data/flickr/Images/3671777903_6fbf643980.jpg,500,334
28,3085973779_29f44fbdaa.jpg,A boy standing in front of a multi-colored statue .,./data/flickr/Images/3085973779_29f44fbdaa.jpg,282,500
29,3265864834_e0229020dd.jpg,A dark brown dog rapidly shaking off .,./data/flickr/Images/3265864834_e0229020dd.jpg,500,332
30,566384456_97da3c7bd6.jpg,The man wearing the cap is handing a freshly caught fish to the boy in the purple hat .,./data/flickr/Images/566384456_97da3c7bd6.jpg,500,392
31,3543378438_47e2712486.jpg,A person playing the piano with a singer nearby .,./data/flickr/Images/3543378438_47e2712486.jpg,500,375
32,2450299735_62c095f40e.jpg,A little girl splashes in a pool of water .,./data/flickr/Images/2450299735_62c095f40e.jpg,371,500
33,3341961913_9a9b362f15.jpg,A hockey goalie ready for the puck .,./data/flickr/Images/3341961913_9a9b362f15.jpg,500,334
34,1389651420_8d95d8f6ed.jpg,A little boy grinning with a go cart in the background .,./data/flickr/Images/1389651420_8d95d8f6ed.jpg,500,375
35,2994205788_f8b3f2e840.jpg,A man lays against a wall near train tracks .,./data/flickr/Images/2994205788_f8b3f2e840.jpg,500,500
36,3359089834_263e529c71.jpg,Two black dogs and 2 white dogs interact with one another in a snowy field .,./data/flickr/Images/3359089834_263e529c71.jpg,500,340
37,2699733386_c346c87ea6.jpg,A black dog running through water .,./data/flickr/Images/2699733386_c346c87ea6.jpg,500,333
38,3398746625_5199beea71.jpg,A topless male does a handstand on a beach .,./data/flickr/Images/3398746625_5199beea71.jpg,500,333
39,2226534154_cbcab7ba32.jpg,Woman at bar looks on at another woman being approached by a man,./data/flickr/Images/2226534154_cbcab7ba32.jpg,469,500
40,315880837_90db309bab.jpg,Three dogs are playing in the white snow .,./data/flickr/Images/315880837_90db309bab.jpg,500,333
41,2186139563_e60c1d4b8b.jpg,A small dog runs to catch a ball .,./data/flickr/Images/2186139563_e60c1d4b8b.jpg,500,333
42,1055753357_4fa3d8d693.jpg,Two construction workers sitting on an I-beam .,./data/flickr/Images/1055753357_4fa3d8d693.jpg,500,351
43,973827791_467d83986e.jpg,a woman dumping water on a small child who is in a pool,./data/flickr/Images/973827791_467d83986e.jpg,333,500
44,3354063643_1d8814eb13.jpg,A tan a white dog bears its teeth in the snow,./data/flickr/Images/3354063643_1d8814eb13.jpg,500,332
45,2255266906_8222af18b9.jpg,a black bird sits in a dead tree .,./data/flickr/Images/2255266906_8222af18b9.jpg,500,375
46,3249738122_decde6c117.jpg,The crowd watches the musher 's dog sled .,./data/flickr/Images/3249738122_decde6c117.jpg,403,500
47,462080147_ca088e6541.jpg,One person is wearing a box on their head and holding a bottle while another man is standing next to him .,./data/flickr/Images/462080147_ca088e6541.jpg,375,500
48,2952141476_fc9a48a60a.jpg,A person is out in the water at the beach while the sun sets .,./data/flickr/Images/2952141476_fc9a48a60a.jpg,500,295
